Keywords
Anamnesis
Auscultacion
Biopsia
Bradicardia
Cianosis
Diagnostico
Disnea
Edema
Embolia
Enfermedad
Eritema
Estertor
Faringitis
Fiebre
Ganglio
Hemorragia
Hipertension
Hipotension
Hipoxia
Ictericia
Infeccion
Inflamacion
Insomnio
Isquemia
Laringitis
Leucemia
Melanoma
Metastasis
Miocardio
Nausea
Neoplasia
Neuralgia
Osteoporosis
Palpitacion
Patologia
Peritonitis
Pleuresia
Pronostico
Radiografia
Resonancia
Sepsis
Sindrome
Taquicardia
Terapia
Trombosis
ulcera
Uremia
Vacuna
Varicela
